GROUP_CLEAN	TEXT_ORI	TEXT_CLEAN1	TEXT_CLEAN2
驱动安装	1064安装到99报错，卸载，硬件安装向导，更新不行，添加打印机不行，发送1108驱动 time stamp :12/25/2014 11:38:19 cathy.huo 1064回电，换电脑安装 time stamp :12/29/2014 08:56:39 cathy.huo 1064回电，打印ok，没其他问题 time stamp :12/30/2014 08:48:11 cathy.huo	1064安装到99报错，卸载，硬件安装向导，更新不行，添加打印机不行，发送1108驱动	1064 安装 99 报错 卸载 硬件 安装 向导 更新 不行 添加 打印机 不行 发送 1108 驱动
传真问题	经销商来电要求回电用户，无法传真，回电用户，带用户确认连线，测试传真，问题解决 time stamp :12/30/2014 13:42:29 tom.cao	经销商来电要求回电用户，无法传真，回电用户，带用户确认连线，测试传真，问题解决	传真 ，带 线 测试 传真
网络问题	1163：网络安装驱动 网线接上打印机没有ip地址 网口灯 不亮 恢复默认值 不行 拔插不行 更换网线尝试。 time stamp :12/30/2014 17:21:45 dragon.zhang	1163：网络安装驱动 网线接上打印机没有ip地址 网口灯 不亮 恢复默认值 不行 拔插不行 更换网线尝试。	1163 网络 安装 驱动 网线 接 上 打印机 没有 ip 地址 网口 灯 不 亮 恢复 默认值 不行 拔 插 不行 网线
传真问题	用户来电无法收发传真 运行传真测试 线错了 查看线没连 800测试正常 time stamp :12/30/2014 10:51:26 xiaoya.peng	用户来电无法收发传真 运行传真测试 线错了 查看线没连 800测试正常	收发 传真 运行 传真 测试 线 错 查看 线 没连 800 测试
驱动安装	安装驱动报错时间过长，端口正常，已安装3.5，卸载删除oem，重装驱动。 time stamp :12/29/2014 14:42:17 cliff.cao 来电，用户表示无法打印，看端口，有感叹号，带用户更新，ok，打印还是没有反应，建议下载安装1108驱动替代尝试 time stamp :12/29/2014 15:44:49 harlin.min 开关双向无效，发送1108. time stamp :12/29/2014 16:37:50 cliff.cao 还是不行，发送基本驱动。 time stamp :12/29/2014 17:44:24 cliff.cao 还是不行，换电脑。 换电脑正常。询问传真问题，改为手动。传真测试能收不能发，恢复默认，传真正常。 time stamp :12/30/2014 11:42:54 cliff.cao	安装驱动报错时间过长，端口正常，已安装3.5，卸载删除oem，重装驱动。	安装 驱动 报错 时间 长， 端口 安装 3.5 卸载 删除 oem 重 装 驱动
传真问题	1155:无法传真，传真测试报告ok，确认连线，恢复默认值，纠错降速，测试ok time stamp :12/30/2014 09:14:53 vivian.lu	1155:无法传真，传真测试报告ok，确认连线，恢复默认值，纠错降速，测试ok	1155 传真 传真 测试 报告 线 恢复 默认值 纠错 降速 测试
无法打印	用的第三方软件 word打印都正常 软件问题 time stamp :12/30/2014 15:23:03 bill.sun	用的第三方软件 word打印都正常 软件问题	第三方 软件 word 打印 软件
传真问题	用户表示怎么使用电话簿中的电话拨号，告知长按面板相对应的数字，回电确认 回电用户同事表示没问题 time stamp :12/30/2014 11:09:02 cm.feng 再次来电恢复默认值重新测试无效送修 time stamp :12/30/2014 12:47:56 achilles.tao	用户表示怎么使用电话簿中的电话拨号，告知长按面板相对应的数字，回电确认 回电用户同事表示没问题	电话簿 拨号 长 面板 相 数字 同事 没
网络问题	用户来电打印机要网络打印，ews能进，告知安装网络驱动 time stamp :12/29/2014 16:11:55 eva.xiao 回电驱动安装上但是不能打印，添加打印机可以打印用户要扫描重装驱动 回电驱动安装有问题，其他电脑可以正常打印扫描。电脑系统问题，建议更换电脑系统，用户不想换就只用打印 time stamp :12/30/2014 15:38:30 eva.xiao	用户来电打印机要网络打印，ews能进，告知安装网络驱动	打印机 网络 打印 ews 进， 安装 网络 驱动
传真问题	用户来电无法传真，其他正常，恢复默认值，纠错降速，运行传真测试，和800测试，正常，问题已解决 time stamp :12/30/2014 09:59:55 angie.zhang	用户来电无法传真，其他正常，恢复默认值，纠错降速，运行传真测试，和800测试，正常，问题已解决	传真 恢复 默认值 纠错 降速 运行 传真 测试 800 测试
传真问题	无法传真，核实线路正常，恢复默认值，测试正常使用	但是不能手动发送，自动正常，更换听筒 time stamp :12/29/2014 17:06:20 jim.li 回电核实正常使用 time stamp :12/30/2014 09:38:02 jim.li	无法传真，核实线路正常，恢复默认值，测试正常使用	但是不能手动发送，自动正常，更换听筒	传真 核实 线路 恢复 默认值 测试 手动 发送 自动 听筒
传真问题	操作都做了不行，接收可以，换线不行，表示新买的机器不用更新，建议联系服务中心 time stamp :12/30/2014 15:45:51 magic.zhang	操作都做了不行，接收可以，换线不行，表示新买的机器不用更新，建议联系服务中心	操作 做 不行 换线 不行 新 买 机器 不用 更新
传真问题	用户表示打印机无法使用传真表示之前工程师有待用户操作过传真自建恢复默认值纠错降速，现在又不行了带用户更新，无法更新，建议送修 time stamp :12/30/2014 10:26:11 tonny.yan	用户表示打印机无法使用传真表示之前工程师有待用户操作过传真自建恢复默认值纠错降速，现在又不行了带用户更新，无法更新，建议送修	打印机 传真 工程师 有待 操作 传真 建 恢复 默认值 纠错 降速 不行 带 更新 更新
传真问题	来电表示传真发送的时候对方是自动就能发送，手动的话发送不了，测试通过的，纠错降速，还是不行，换线还是不行，新机器，建议联系经销商检测 time stamp :12/30/2014 15:20:59 tom.cao	来电表示传真发送的时候对方是自动就能发送，手动的话发送不了，测试通过的，纠错降速，还是不行，换线还是不行，新机器，建议联系经销商检测	传真 发送 方 自动 发送 手动 发送 不 测试 纠错 降速 不行 换线 不行 新 机器 检测
驱动安装	发送驱动 time stamp :12/29/2014 17:50:38 agoni.feng 安装到一半报错 光盘和官网驱动都不行电脑问题 建议联系服务中心用维修中心的电脑测试 time stamp :12/30/2014 09:55:05 agoni.feng	发送驱动	发送 驱动
传真问题	无法传真，运行传真测试4个通过，恢复默认值，确认连线，纠错降速，传真测试可以收了，没开长途，用户自己测试下 time stamp :12/29/2014 16:33:15 emmett.gu 回电：问题已解决 time stamp :12/30/2014 09:24:28 emmett.gu	无法传真，运行传真测试4个通过，恢复默认值，确认连线，纠错降速，传真测试可以收了，没开长途，用户自己测试下	传真 运行 传真 测试 4个 恢复 默认值 线 纠错 降速 传真 测试 收 没 开 长途 测试 下
传真问题	用户表示打印机感叹号灯闪 打印复印正常 取出硒鼓再放回 回复正常 用户表示传真无法接收 带用户运行传真测试 确认连线 传真三步 与800测试成功 time stamp :12/30/2014 16:19:54 rena.ren 再次来电 传真 换线测试ok time stamp :12/30/2014 17:12:21 kitty.gong	用户表示打印机感叹号灯闪 打印复印正常 取出硒鼓再放回 回复正常 用户表示传真无法接收 带用户运行传真测试 确认连线 传真三步 与800测试成功	打印机 感叹号灯 闪 打印 复印 取出 硒鼓 放 回 回复 传真 带 运行 传真 测试 线 传真 三步 800 测试 成功
驱动问题	驱动安装不上，机器不在身边，发送技术文档 time stamp :12/25/2014 10:29:55 magic.zhang 再次来电 安装99%错误 安装3.5补丁无效 完整卸载 重新安装 无效 建议添加1108打印机驱动尝试 time stamp :12/25/2014 11:13:28 wei.wu 回电 用户表示还未操作 表示要过几天才操作 time stamp :12/26/2014 09:35:02 wei.wu 回电无人接听 time stamp :12/29/2014 09:32:03 wei.wu 128无电脑接收传真功能 导致客户很不满意 time stamp :12/29/2014 14:48:14 agoni.feng	驱动安装不上，机器不在身边，发送技术文档	驱动 安装不上 机器 不 身边 发送 技术 文档
无法打印	来电表示驱动安装好了但是无法打印，端口正常，开关直接打印尝试无效，安装替代驱动尝试，预约回电 time stamp :12/30/2014 10:50:50 ainy.shen 回电，可以正常打印 time stamp :12/30/2014 17:05:58 ainy.shen	来电表示驱动安装好了但是无法打印，端口正常，开关直接打印尝试无效，安装替代驱动尝试，预约回电	驱动 安装 好 打印 端口 开关 打印 无效 安装 替代 驱动
驱动安装	驱动装不上发送驱动 再次来电：驱动没有收到。核实后邮箱错误。发送驱动带用户安装，最后走进度界面用户表示自行等待尝试有问题随时来电 ，预约周一回电 time stamp :12/26/2014 17:35:50 zoro.wang 回电：正在通话中 time stamp :12/29/2014 10:16:24 zoro.wang 回电：三声后 正在通话中 time stamp :12/29/2014 13:51:12 zoro.wang 回电：三声后 正在通话中 time stamp :12/30/2014 09:43:29 zoro.wang	驱动装不上发送驱动 再次来电：驱动没有收到。核实后邮箱错误。发送驱动带用户安装，最后走进度界面用户表示自行等待尝试有问题随时来电 ，预约周一回电	驱动 装不上 发送 驱动 电 驱动 没有 收到 核实 后 邮箱 错误 发送 驱动 带 安装 走 进度 界面 自行 等待 随时 一
传真问题	传真问题，打印复印正常，设置正确的传真向导，打印传真测试页线路通过，恢复默认值，关闭错误更正，传真降速，与800测试失败，用户是先硬后软安装无法使用传真功能，卸载驱动，完整安装驱动，打印测试页正常，设置传真向导，传真线路通过，与800测试无效，用户不方便更换线路，建议联系维修中心。 time stamp :12/30/2014 11:56:38 mas.shi 用户再次来电，要与800测试能不能收到传真，与800测试后能接受传真，在关掉错误报告。 time stamp :12/30/2014 17:10:39 looper.li	传真问题，打印复印正常，设置正确的传真向导，打印传真测试页线路通过，恢复默认值，关闭错误更正，传真降速，与800测试失败，用户是先硬后软安装无法使用传真功能，卸载驱动，完整安装驱动，打印测试页正常，设置传真向导，传真线路通过，与800测试无效，用户不方便更换线路，建议联系维修中心。	传真 打印 复印 设置 正确 传真 向导 打印 传真 测试 页 线路 恢复 默认值 关闭 错误 更 正， 传真 降速 800 测试 失败 先 硬 后 软 安装 传真 功能 卸载 驱动 完整 安装 驱动 打印 测试 页 设置 传真 向导 传真 线路 800 测试 无效 不 线路
不能扫描	1163：不能扫描 无法检测到扫描议 查看端口识别感叹号 更新驱动程序 尝试扫描 可以使用。 time stamp :12/30/2014 10:47:57 dragon.zhang	1163：不能扫描 无法检测到扫描议 查看端口识别感叹号 更新驱动程序 尝试扫描 可以使用。	1163 扫描 检测 扫描 议 查看 端口 识别 感叹号 更新 驱动 程序 扫描
传真问题	无法传真，运行传真测试，通过，能发送，告知打印机没问题 time stamp :12/30/2014 16:55:15 cherry.cheng	无法传真，运行传真测试，通过，能发送，告知打印机没问题	传真 运行 传真 测试 ，能 发送 打印机 没
不能扫描	1064扫描端口正常，重启服务，电脑自带扫描ok time stamp :12/30/2014 14:15:42 cathy.huo	1064扫描端口正常，重启服务，电脑自带扫描ok	1064 扫描 端口 重启 电脑 自带 扫描
驱动问题	用户来电表示，打印机不会安装硒鼓，经销商来电，带用户安装，打印机屏幕上显示耗材内存错误，建议擦拭金属触电滚轮，用户在安装驱动稍后操作 time stamp :12/30/2014 14:01:24 wendy.wang1 回电墨盒好了，安装不上驱动带用户看端口拔插数据线安装上驱动可以打印 time stamp :12/30/2014 16:11:39 wendy.wang1	用户来电表示，打印机不会安装硒鼓，经销商来电，带用户安装，打印机屏幕上显示耗材内存错误，建议擦拭金属触电滚轮，用户在安装驱动稍后操作	打印机 安装 硒鼓 ，带 安装 打印机 屏幕 上 显示 耗材 内存 错误 擦拭 金属 触电 滚轮 安装 驱动 稍后 操作
传真问题	1155：无法传真，传真测试报告连线失败，确认连线，恢复默认值，纠错降速，测试ok	不能打印，查看端口服务正常，打印机图标正常，无法打印测试页，刷打印端口，添加打印机，无效，发送1108替代驱动 time stamp :12/30/2014 13:06:02 vivian.lu 回电，能打印，不能扫描，换电脑，无效，送修 time stamp :12/30/2014 16:34:48 vivian.lu	1155：无法传真，传真测试报告连线失败，确认连线，恢复默认值，纠错降速，测试ok	不能打印，查看端口服务正常，打印机图标正常，无法打印测试页，刷打印端口，添加打印机，无效，发送1108替代驱动	1155 传真 传真 测试 报告 连线 失败 连线 恢复 默认值 纠错 降速 测试 打印 查看 端口 打印机 图标 打印 测试 页 ，刷 打印 端口 添加 打印机 无效 发送 1108 替代 驱动
打印问题	用户来电表示打印机无法打印，自检正常，可以进入ews，图标正常，添加ip端口可以打印正常使用 time stamp :12/30/2014 14:23:39 tonny.yan	用户来电表示打印机无法打印，自检正常，可以进入ews，图标正常，添加ip端口可以打印正常使用	打印机 打印 自检 ews 图标 添加 ip 端口 打印
无法打印	经销商来电，扫描驱动装上打印驱动装不上，添加打印机报错，发1108，可以使用 time stamp :12/30/2014 11:15:26 wizard.cai	经销商来电，扫描驱动装上打印驱动装不上，添加打印机报错，发1108，可以使用	扫描 驱动 装 上 打印 驱动 装不上 添加 打印机 报错 发 1108
传真问题	用户表示传真发布出去时会打印错误报告 带用户关闭错误报告 用户表示扫描pdf无法打开 告知下载查看软件 time stamp :12/30/2014 12:46:41 rena.ren	用户表示传真发布出去时会打印错误报告 带用户关闭错误报告 用户表示扫描pdf无法打开 告知下载查看软件	传真 发布 时 会 打印 错误 报告 带 关闭 错误 报告 扫描 pdf 打开 下载 查看 软件
无法打印	无法打印，耗材警告，硒鼓加过粉，更换原装硒鼓，添加打印机测试打印正常 time stamp :12/30/2014 10:08:47 wook.zhang	无法打印，耗材警告，硒鼓加过粉，更换原装硒鼓，添加打印机测试打印正常	打印 耗材 警告 硒鼓 加 粉， 原装 硒鼓 添加 打印机 测试 打印
不能传真	运行传真测试通过，恢复默认值，纠错降速，与800测试成功 time stamp :12/23/2014 17:36:28 angela.gu 再次来电：复印时偶尔会出现黑线，擦拭金属触点，恢复默认值，建议用户再观察观察还会不会有这个情况 time stamp :12/26/2014 12:55:34 angela.gu 回电：无人接听 time stamp :12/29/2014 15:00:43 angela.gu 回电：还是有问题，用户表示之前都是经销商来给他调试的，建议送修检测用户不同意，购买不久，建议直接联系经销商 time stamp :12/30/2014 10:06:28 angela.gu	运行传真测试通过，恢复默认值，纠错降速，与800测试成功	运行 传真 测试 恢复 默认值 纠错 降速 800 测试 成功
传真问题	来电表示无法传真，连线正确，运行传真测试拨号音检测失败，恢复默认值，纠错降速，测试成功，可以正常使用 time stamp :12/30/2014 11:29:10 ainy.shen	来电表示无法传真，连线正确，运行传真测试拨号音检测失败，恢复默认值，纠错降速，测试成功，可以正常使用	传真 线 正确 运行 传真 测试 拨号 音 检测 失败 恢复 默认值 纠错 降速 测试 成功
传真问题	纠正线路，，待回电 time stamp :12/30/2014 13:39:22 windy.zhuang 经销商来电表示用户说有三个电话接线口，告知没有，回电用户用户表示传真接收不了，纠错降速和800测试可以接收，但是和其他人传真测试失败。恢复默认纠错降速测试传真还是失败。建议送修 time stamp :12/30/2014 14:41:26 eva.xiao	纠正线路，，待回电	纠正 线路 ，待
传真问题	1157：来电，表示传真发不了，一直打印错误报告，带用户关闭错误报告，测试ok，固件最新，用户表示传真一直不稳定，建议换线路尝试，用户表是很难接受，没有线可换，建议如果一直不稳定，可以去维修中心检测 time stamp :12/30/2014 15:25:13 cindy.gu	1157：来电，表示传真发不了，一直打印错误报告，带用户关闭错误报告，测试ok，固件最新，用户表示传真一直不稳定，建议换线路尝试，用户表是很难接受，没有线可换，建议如果一直不稳定，可以去维修中心检测	1157 传真 发 不 打印 错误 报告 ，带 关闭 错误 报告 测试 固件 最新 传真 不 稳定 换 线路 表 接受 没有 线 换 不 稳定 去 检测
传真问题	用户表示传真身份证一片黑，复印正常，告知用户这是跟线路有关的，传真图片信息量比较大，容易丢失信息 time stamp :12/30/2014 17:17:39 harlin.min	用户表示传真身份证一片黑，复印正常，告知用户这是跟线路有关的，传真图片信息量比较大，容易丢失信息	传真 身份证 黑， 复印 线路 传真 图片 信息量 大 丢失 信息
传真问题	来电表示传真不稳定，老是会通信错误，测试是通过的，传真4步，测试传真还是失败，发送固件更新 time stamp :12/30/2014 10:45:27 tom.cao 再次来电更新固件不行，换线路不行，建议送修 用户再次来电测试传真，表示换了线路环境，失败，建议送修 time stamp :12/30/2014 13:19:09 cathy.wang 用户再次来电测试传真在维修中心，失败，维修中心 time stamp :12/31/2014 10:59:25 cathy.wang	来电表示传真不稳定，老是会通信错误，测试是通过的，传真4步，测试传真还是失败，发送固件更新	传真 不 稳定 ，老 会 通信 错误 测试 传真 4步 测试 传真 失败 发送 固件 更新
传真问题	运行测试通过，传真四步，测试正常。 time stamp :12/30/2014 14:51:14 dick.lu	运行测试通过，传真四步，测试正常。	运行 测试 传真 四步 测试
驱动安装	来电表示驱动装不上，提示错误，3.5安装了，添加打印机无法打印，建议添加1108测试 time stamp :12/29/2014 10:54:10 judy.zhu 回电无人接 time stamp :12/29/2014 16:36:40 judy.zhu 回电不通 time stamp :12/30/2014 09:01:50 judy.zhu 回电不通 time stamp :12/30/2014 16:44:16 judy.zhu	来电表示驱动装不上，提示错误，3.5安装了，添加打印机无法打印，建议添加1108测试	驱动 装不上 提示 错误 3.5 安装 添加 打印机 打印 添加 1108 测试
传真问题	传真问题用户挂机 来电，运行传真测试，都是通过的，恢复默认值，测试传真ok time stamp :12/30/2014 13:48:53 harlin.min	传真问题用户挂机 来电，运行传真测试，都是通过的，恢复默认值，测试传真ok	传真 挂机 运行 传真 测试 恢复 默认值 测试 传真
传真问题	来电咨询传真， 没有线，建议联系电信局 time stamp :12/30/2014 09:26:13 cathy.wang 回电用户无线 time stamp :12/30/2014 17:32:23 cathy.wang	来电咨询传真， 没有线，建议联系电信局	咨询 传真 没有 线 电信局
传真问题	用户和对方通话，听不到对方，对方可以听见用户的声音，传真测试全通，恢复默认值，纠错降速，测试传真，用户能收到传真，不能发送外省，自行测试 回电问题解决 time stamp :12/30/2014 15:03:03 aimee.tang	用户和对方通话，听不到对方，对方可以听见用户的声音，传真测试全通，恢复默认值，纠错降速，测试传真，用户能收到传真，不能发送外省，自行测试 回电问题解决	对方 听 不 方 对方 听见 声音 传真 测试 全 通， 恢复 默认值 纠错 降速 测试 传真 收到 传真 发送 外 省 自行 测试
无法打印	用户来电表示，打印机打印文档正常，打印机彩色照片打印出来都是一团墨，告知用户打印没有问题，本身打印无法打印彩色的打印语言不一样 time stamp :12/30/2014 11:09:22 wendy.wang1	用户来电表示，打印机打印文档正常，打印机彩色照片打印出来都是一团墨，告知用户打印没有问题，本身打印无法打印彩色的打印语言不一样	打印机 打印 文档 打印机 彩色 照片 打印 一团 墨， 打印 没有 本身 打印 打印 彩色 打印 语言 不
